# Channel A, measure V
</>
<1.53585, 1.5715>
<2.04904, 2.0965>
<2.73217, 2.7955>
<3.64357, 3.7284>
<4.85764, 4.9717>
<\>

# Channel A, source I
</>
<-0.00099, -0.0011>
<-0.00089, -0.0010>
<-0.00079, -0.0009>
<-0.00070, -0.0009>
<-0.00060, -0.0007>
<-0.00041, -0.0005>
<-0.00012, -0.0002>
<0.00027, 0.0002>
<0.00076, 0.0007>
<0.00144, 0.0014>
<0.00232, 0.0023>
<0.00338, 0.0033>
<0.00493, 0.0049>
<0.00699, 0.0070>
<0.00969, 0.0098>
<0.01338, 0.0136>
<0.01823, 0.0185>
<0.02473, 0.0251>
<0.03337, 0.0340>
<0.04483, 0.0456>
<0.06014, 0.0613>
<0.08059, 0.0822>
<0.10791, 0.1101>
<0.14434, 0.1472>
<0.19273, 0.1967>
<-0.00137, -0.0015>
<-0.00148, -0.0016>
<-0.00156, -0.0017>
<-0.00166, -0.0018>
<-0.00176, -0.0019>
<-0.00195, -0.0021>
<-0.00223, -0.0024>
<-0.00263, -0.0028>
<-0.00313, -0.0033>
<-0.00381, -0.0040>
<-0.00469, -0.0049>
<-0.00575, -0.0060>
<-0.00729, -0.0075>
<-0.00934, -0.0096>
<-0.01206, -0.0124>
<-0.01575, -0.0162>
<-0.02060, -0.0211>
<-0.02712, -0.0278>
<-0.03575, -0.0366>
<-0.04722, -0.0483>
<-0.06257, -0.0639>
<-0.08305, -0.0848>
<-0.11046, -0.1126>
<-0.14688, -0.1496>
<-0.19541, -0.1991>
<\>

# Channel B, measure V
</>
<0.0050, 0.00508>
<0.0067, 0.00675>
<0.0089, 0.00889>
<0.0119, 0.01183>
<0.0158, 0.01565>
<0.0211, 0.02081>
<0.0281, 0.02767>
<0.0375, 0.03686>
<0.0500, 0.04908>
<0.0667, 0.06541>
<0.0889, 0.08710>
<0.1186, 0.11612>
<0.1581, 0.15473>
<0.2108, 0.20620>
<0.2812, 0.27502>
<0.3748, 0.36656>
<0.5000, 0.48888>
<0.6668, 0.65185>
<0.8891, 0.86915>
<1.1853, 1.15858>
<1.5811, 1.54542>
<2.1082, 2.06072>
<2.8113, 2.74787>
<3.7490, 3.66430>
<5.0001, 4.88662>
<\>

# Channel B, measure I
</>
<0.0002, 0.00026>
<0.0003, 0.00036>
<0.0004, 0.00046>
<0.0005, 0.00056>
<0.0006, 0.00065>
<0.0008, 0.00085>
<0.0011, 0.00114>
<0.0015, 0.00153>
<0.0020, 0.00202>
<0.0027, 0.00271>
<0.0036, 0.00359>
<0.0047, 0.00467>
<0.0063, 0.00624>
<0.0084, 0.00830>
<0.0112, 0.01104>
<0.0150, 0.01476>
<0.0200, 0.01966>
<0.0267, 0.02622>
<0.0356, 0.03494>
<0.0474, 0.04650>
<0.0632, 0.06197>
<0.0843, 0.08262>
<0.1125, 0.11019>
<0.1500, 0.14693>
<0.2000, 0.19587>
<-0.0002, -0.00013>
<-0.0003, -0.00022>
<-0.0004, -0.00033>
<-0.0005, -0.00042>
<-0.0006, -0.00052>
<-0.0008, -0.00072>
<-0.0011, -0.00101>
<-0.0015, -0.00140>
<-0.0020, -0.00189>
<-0.0027, -0.00258>
<-0.0036, -0.00346>
<-0.0047, -0.00454>
<-0.0063, -0.00611>
<-0.0084, -0.00817>
<-0.0112, -0.01091>
<-0.0150, -0.01463>
<-0.0200, -0.01953>
<-0.0267, -0.02609>
<-0.0356, -0.03482>
<-0.0474, -0.04639>
<-0.0632, -0.06187>
<-0.0843, -0.08255>
<-0.1124, -0.11030>
<-0.1499, -0.14703>
<-0.1999, -0.19612>
<\>

# Channel B, source V
</>
<0.00856, 0.0086>
<0.01021, 0.0103>
<0.01235, 0.0125>
<0.01527, 0.0155>
<0.01916, 0.0195>
<0.02431, 0.0248>
<0.03120, 0.0318>
<0.04055, 0.0413>
<0.05262, 0.0538>
<0.06902, 0.0705>
<0.09073, 0.0927>
<0.11986, 0.1224>
<0.15855, 0.1620>
<0.20994, 0.2147>
<0.27885, 0.2851>
<0.37038, 0.3788>
<0.49278, 0.5040>
<0.65585, 0.6708>
<0.87305, 0.8931>
<1.16303, 1.1898>
<1.54932, 1.5852>
<2.06548, 2.1128>
<2.75284, 2.8162>
<3.66967, 3.7544>
<4.87674, 4.9904>
<\>

# Channel B, source I
</>
<0.00096, 0.0010>
<0.00106, 0.0010>
<0.00116, 0.0011>
<0.00125, 0.0012>
<0.00136, 0.0013>
<0.00155, 0.0015>
<0.00184, 0.0018>
<0.00223, 0.0022>
<0.00273, 0.0027>
<0.00341, 0.0034>
<0.00430, 0.0043>
<0.00537, 0.0054>
<0.00693, 0.0070>
<0.00899, 0.0091>
<0.01169, 0.0119>
<0.01541, 0.0157>
<0.02028, 0.0207>
<0.02683, 0.0274>
<0.03551, 0.0362>
<0.04704, 0.0480>
<0.06243, 0.0637>
<0.08299, 0.0847>
<0.11048, 0.1128>
<0.14710, 0.1502>
<0.19576, 0.1999>
<0.00058, 0.0005>
<0.00047, 0.0004>
<0.00038, 0.0003>
<0.00028, 0.0002>
<0.00019, 0.0001>
<0.00000, -0.0001>
<-0.00028, -0.0003>
<-0.00068, -0.0007>
<-0.00118, -0.0012>
<-0.00187, -0.0019>
<-0.00275, -0.0028>
<-0.00382, -0.0039>
<-0.00537, -0.0055>
<-0.00743, -0.0076>
<-0.01016, -0.0104>
<-0.01388, -0.0142>
<-0.01875, -0.0192>
<-0.02531, -0.0259>
<-0.03398, -0.0347>
<-0.04552, -0.0465>
<-0.06095, -0.0622>
<-0.08153, -0.0832>
<-0.10907, -0.1111>
<-0.14572, -0.1485>
<-0.19454, -0.1982>
<\>

